"text","text_en","cmp_code","eu_code"
"Preamble",NA,"H",NA
"In 2016, Democrats meet in Philadelphia with the same basic belief that animated the Continental Congress when they gathered here 240 years ago: Out of many, we are one.",NA,"601.1",NA
"Under President Obama’s leadership,",NA,"305.1",NA
"and thanks to the hard work and determination of the American people, we have come a long way from the Great Recession and the Republican policies that triggered it.",NA,"601.1",NA
"American businesses have now added 14.8 million jobs since private-sector job growth turned positive in early 2010.",NA,"410",NA
"Twenty million people have gained health insurance coverage.",NA,"504",NA
"The American auto industry just had its best year ever.",NA,"410",NA
"And we are getting more of our energy from the sun and wind, and importing less oil from overseas.",NA,"501",NA
"But too many Americans have been left out and left behind.",NA,"503",NA
"They are working longer hours with less security.",NA,"403",NA
"Wages have barely budged",NA,"403",NA
"and the racial wealth gap remains wide,",NA,"503",NA
"while the cost of everything from childcare to a college education has continued to rise.",NA,"403",NA
"And for too many families, the dream of homeownership is out of reach.",NA,"401",NA
"As working people struggle, the top one percent accrues more wealth and more power.",NA,"403",NA
"Republicans in Congress have chosen gridlock and dysfunction over trying to find solutions to the real challenges we face.",NA,"305.1",NA
"It’s no wonder that so many feel like the system is rigged against them.",NA,"403",NA
"Democrats believe that cooperation is better than conflict,",NA,"601.1",NA
"unity is better than division,",NA,"601.1",NA
"empowerment is better than resentment,",NA,"503",NA
"and bridges are better than walls.",NA,"503",NA
"It’s a simple but powerful idea: we are stronger together.",NA,"601.1",NA
"Democrats believe we are stronger when we have an economy that works for everyone",NA,"403",NA
"—an economy that grows incomes for working people,",NA,"701",NA
"creates good-paying jobs,",NA,"701",NA
"and puts a middle-class life within reach for more Americans.",NA,"503",NA
"Democrats believe we can spur more sustainable economic growth,",NA,"416.2",NA
"which will create good-paying jobs and raise wages.",NA,"701",NA
"And we can have more economic fairness,",NA,"403",NA
"so the rewards are shared broadly, not just with those at the top.",NA,"503",NA
"We need an economy that prioritizes long-term investment over short-term profit-seeking,",NA,"403",NA
"rewards the common interest over self-interest,",NA,"403",NA
"and promotes innovation and entrepreneurship.",NA,"401",NA
"We believe that today’s extreme level of income and wealth inequality—where the majority of the economic gains go to the top one percent and the richest 20 people in our country own more wealth than the bottom 150 million—makes our economy weaker,",NA,"403",NA
"our communities poorer,",NA,"403",NA
"and our politics poisonous.",NA,"602.1",NA
"And we know that our nation’s long struggle with race is far from over.",NA,"503",NA
"More than half a century after Rosa Parks sat and Dr. King marched and John Lewis bled, more than half a century after César Chávez, Dolores Huerta, and Larry Itliong organized, race still plays a significant role in determining who gets ahead in America and who gets left behind.",NA,"503",NA
"We must face that reality and we must fix it.",NA,"503",NA
"We believe a good education is a basic right of all Americans, no matter what zip code they live in.",NA,"506",NA
"We will end the school-to-prison pipeline and build a cradle-to-college pipeline instead, where every child can live up to his or her God-given potential.",NA,"506",NA
"We believe in helping Americans balance work and family without fear of punishment or penalty.",NA,"706",NA
"We believe in at last guaranteeing equal pay for women.",NA,"503",NA
"And as the party that created Social Security, we believe in protecting every American’s right to retire with dignity.",NA,"504",NA
"We firmly believe that the greed, recklessness, and illegal behavior on Wall Street must be brought to an end.",NA,"403",NA
"Wall Street must never again be allowed to threaten families and businesses on Main Street.",NA,"403",NA
